TSR	Ct	Cq	Cp
0.054924	0.94439	0.4915701696890248	0.026999
0.054979	0.94586	0.48865930628057985	0.026866
0.13303	0.91186	0.46890926858603316	0.062379
0.13336	0.91603	0.4671565686862627	0.0623
0.2144	0.87693	0.43799906716417913	0.093907
0.29623	0.83294	0.4063059109475745	0.12036
0.37865	0.78276	0.3734583388353361	0.14141
0.4636	0.73544	0.34119930974978424	0.15818
0.54776	0.68328	0.30924127355046005	0.16939
0.63191	0.64507	0.28208130904717443	0.17825
0.71659	0.60218	0.25492959711969193	0.18268
0.79885	0.57019	0.2300682230706641	0.18379
0.8852	0.533	0.20529823768639857	0.18173
0.96611	0.50209	0.18150107130658	0.17535
1.0532	0.46825	0.1564090391188758	0.16473
1.135	0.43704	0.13189427312775331	0.1497
1.2221	0.39908	0.10508141723263237	0.12842
1.3081	0.36515	0.07967280788930509	0.10422
1.3932	0.32544	0.05138099339649727	0.071584
1.4811	0.28637	0.02408817770575923	0.035677
