t U
0 0.611170
3600 1.197540
7200 1.408360
10800 1.006780
14400 0.785110
18000 0.777490
21600 0.076750
25200 0.929340
28800 0.743750
32400 0.195880
36000 0.117540
39600 0.302800
43200 0.850410
46800 1.446910
50400 1.749770
54000 1.386330
57600 0.903690
61200 0.945850
64800 0.657050
68400 0.266050
72000 0.519740
75600 0.168770
79200 0.178840
82800 0.248460
86400 0.096870
90000 0.465710
93600 1.060550
97200 1.287720
100800 1.067440
104400 1.091880
108000 1.030230
111600 0.073300
115200 0.872740
118800 0.680200
122400 0.297910
126000 0.202530
129600 0.161480
133200 0.756800
136800 1.349720
140400 1.649770
144000 1.384120
147600 1.134150
151200 1.252290
154800 0.789290
158400 0.196660
162000 0.414480
165600 0.217920
169200 0.311120
172800 0.467940
176400 0.211870
180000 0.365300
183600 1.050290
187200 1.387920
190800 1.325500
194400 1.426820
198000 1.165040
201600 0.073250
205200 0.957780
208800 0.802160
212400 0.526400
216000 0.399250
219600 0.066490
223200 0.705530
226800 1.373510
230400 1.765930
234000 1.587860
237600 1.441440
241200 1.490540
244800 0.793670
248400 0.284530
252000 0.515330
255600 0.385130
259200 0.546320
262800 0.630970
266400 0.282600
270000 0.413380
273600 1.261760
277200 1.657680
280800 1.615880
284400 1.662780
288000 1.133480
291600 0.312200
295200 1.207970
298800 1.022760
302400 0.738250
306000 0.517340
309600 0.026510
313200 0.788380
316800 1.606600
320400 2.042870
324000 1.832980
327600 1.692830
331200 1.586790
334800 0.595940
338400 0.578820
342000 0.752530
345600 0.599300
349200 0.733930
352800 0.707820
356400 0.207310
360000 0.698350
363600 1.640620
367200 1.945320
370800 1.835560
374400 1.759280
378000 0.895170
381600 0.754160
385200 1.527880
388800 1.199860
392400 0.858800
396000 0.542280
399600 0.155080
403200 1.070330
406800 1.979690
410400 2.317890
414000 2.009880
417600 1.832240
421200 1.468580
424800 0.174320
428400 1.000630
432000 0.993740
435600 0.773370
439200 0.841640
442800 0.629380
446400 0.131730
450000 1.161700
453600 2.040220
457200 2.167490
460800 1.964300
464400 1.674250
468000 0.444310
471600 1.278290
475200 1.775660
478800 1.279630
482400 0.890640
486000 0.437150
489600 0.451550
493200 1.472470
496800 2.333740
500400 2.499380
504000 2.092300
507600 1.800400
511200 1.097970
514800 0.463370
518400 1.409380
522000 1.178360
525600 0.888220
529200 0.806830
532800 0.341000
536400 0.598360
540000 1.662030
543600 2.384490
547200 2.318780
550800 1.965040
554400 1.381190
558000 0.209340
561600 1.737350
565200 1.903770
568800 1.278100
572400 0.803530
576000 0.193070
579600 0.842580
583200 1.845460
586800 2.592310
590400 2.583030
594000 2.043060
597600 1.558780
601200 0.564780
604800 1.065170
608400 1.740270
612000 1.300040
615600 0.887020
619200 0.572970
622800 0.197260
626400 1.113490
630000 2.128370
633600 2.667800
637200 2.362550
640800 1.797460
644400 0.951910
648000 0.750290
651600 2.076640
655200 1.929880
658800 1.167700
662400 0.565300
666000 0.259320
669600 1.189480
673200 2.130270
676800 2.764040
680400 2.543900
684000 1.829310
687600 1.174680
691200 0.217570
694800 1.605650
698400 1.980310
702000 1.303240
705600 0.710150
709200 0.222770
712800 0.636550
716400 1.598110
720000 2.552020
723600 2.840430
727200 2.244390
730800 1.506620
734400 0.511060
738000 1.253160
741600 2.296540
745200 1.818400
748800 0.909490
752400 0.253400
756000 0.552050
759600 1.443850
763200 2.347380
766800 2.823870
770400 2.346430
774000 1.509070
777600 0.768130
781200 0.664850
784800 2.051460
788400 2.061270
792000 1.126200
795600 0.414310
799200 0.247520
802800 1.059710
806400 2.043460
810000 2.869910
813600 2.826100
817200 1.991040
820800 1.183050
824400 0.232910
828000 1.671310
831600 2.335020
835200 1.518980
838800 0.567570
842400 0.097370
846000 0.764340
849600 1.631700
853200 2.471210
856800 2.722490
860400 2.037000
864000 1.186050
867600 0.407110
871200 1.150530
874800 2.310870
878400 1.910080
882000 0.824520
885600 0.137880
889200 0.546950
892800 1.430190
896400 2.384100
900000 2.988150
903600 2.632480
907200 1.683440
910800 0.864640
914400 0.468800
918000 1.909570
921600 2.117070
925200 1.092960
928800 0.268960
932400 0.234070
936000 0.904800
939600 1.726970
943200 2.442460
946800 2.487930
950400 1.710130
954000 0.904520
957600 0.221790
961200 1.477010
964800 2.290730
968400 1.582090
972000 0.533220
975600 0.114490
979200 0.794420
982800 1.684410
986400 2.525970
990000 2.902170
993600 2.334640
997200 1.364020
1000800 0.582990
1004400 0.703450
1008000 1.863970
1011600 1.694830
1015200 0.681210
1018800 0.077600
1022400 0.325280
1026000 0.940700
1029600 1.669240
1033200 2.278860
1036800 2.202350
1040400 1.410240
1044000 0.689830
1047600 0.284080
1051200 1.532940
1054800 2.039360
1058400 1.225940
1062000 0.327640
1065600 0.232100
1069200 0.921340
1072800 1.739740
1076400 2.471440
1080000 2.685020
1083600 1.983500
1087200 1.077660
1090800 0.439350
1094400 0.688900
1098000 1.573680
1101600 1.220880
1105200 0.373900
1108800 0.061760
1112400 0.301680
1116000 0.812680
1119600 1.481460
1123200 2.058470
1126800 1.907840
1130400 1.171290
1134000 0.637400
1137600 0.215920
1141200 1.362920
1144800 1.713470
1148400 0.938460
1152000 0.223610
1155600 0.232340
1159200 0.859690
1162800 1.618550
1166400 2.305460
1170000 2.391810
1173600 1.639070
1177200 0.950850
1180800 0.526360
1184400 0.452620
1188000 1.196780
1191600 0.808120
1195200 0.219590
1198800 0.067480
1202400 0.106580
1206000 0.555900
