t U
0 0.284050
3600 0.387000
7200 0.417880
10800 0.346820
14400 0.237210
18000 0.115270
21600 0.033240
25200 0.084410
28800 0.093040
32400 0.085430
36000 0.039900
39600 0.060340
43200 0.152940
46800 0.258570
50400 0.359340
54000 0.388440
57600 0.355370
61200 0.279860
64800 0.146720
68400 0.019690
72000 0.091540
75600 0.142340
79200 0.126620
82800 0.021270
86400 0.141870
90000 0.290650
93600 0.424740
97200 0.474500
100800 0.413480
104400 0.296460
108000 0.140570
111600 0.036790
115200 0.129590
118800 0.169430
122400 0.165450
126000 0.085820
129600 0.050440
133200 0.180190
136800 0.324500
140400 0.449930
144000 0.482140
147600 0.433960
151200 0.318180
154800 0.132910
158400 0.062760
162000 0.185570
165600 0.243740
169200 0.195120
172800 0.037970
176400 0.153700
180000 0.335560
183600 0.492010
187200 0.538230
190800 0.458740
194400 0.310250
198000 0.109350
201600 0.101050
205200 0.225180
208800 0.265440
212400 0.222930
216000 0.084060
219600 0.098670
223200 0.267250
226800 0.440780
230400 0.563710
234000 0.567090
237600 0.478600
241200 0.305720
244800 0.064680
248400 0.169550
252000 0.299480
255600 0.321800
259200 0.210090
262800 0.011550
266400 0.219570
270000 0.420760
273600 0.571510
277200 0.584980
280800 0.469510
284400 0.275530
288000 0.023600
291600 0.228900
295200 0.354810
298800 0.353180
302400 0.236510
306000 0.032870
309600 0.201500
313200 0.395390
316800 0.569590
320400 0.658890
324000 0.616830
327600 0.475610
331200 0.232750
334800 0.077170
338400 0.309210
342000 0.397080
345600 0.341610
349200 0.150100
352800 0.107220
356400 0.336420
360000 0.526400
363600 0.640970
367200 0.608400
370800 0.448330
374400 0.191430
378000 0.134520
381600 0.400060
385200 0.486130
388800 0.403050
392400 0.192860
396000 0.093210
399600 0.337970
403200 0.525920
406800 0.670990
410400 0.714310
414000 0.622190
417600 0.413710
421200 0.091480
424800 0.251110
428400 0.446050
432000 0.442310
435600 0.280780
439200 0.014190
442800 0.268590
446400 0.474090
450000 0.624130
453600 0.693040
457200 0.613500
460800 0.393900
464400 0.058630
468000 0.329090
471600 0.576990
475200 0.580460
478800 0.390320
482400 0.088660
486000 0.238520
489600 0.470130
493200 0.622540
496800 0.730480
500400 0.728990
504000 0.575660
507600 0.284100
511200 0.108140
514800 0.440010
518400 0.541350
522000 0.410370
525600 0.137000
529200 0.187090
532800 0.441820
536400 0.592920
540000 0.700170
543600 0.730210
547200 0.596150
550800 0.299060
554400 0.129780
558000 0.531970
561600 0.714390
565200 0.603060
568800 0.301340
572400 0.073050
576000 0.382900
579600 0.563590
583200 0.677050
586800 0.755730
590400 0.702330
594000 0.470290
597600 0.100010
601200 0.332000
604800 0.598390
608400 0.564050
612000 0.295670
615600 0.063060
619200 0.384240
622800 0.575640
626400 0.672180
630000 0.753560
633600 0.745130
637200 0.542730
640800 0.169300
644400 0.319620
648000 0.696970
651600 0.771370
655200 0.533790
658800 0.148410
662400 0.231180
666000 0.487860
669600 0.612190
673200 0.703640
676800 0.752500
680400 0.630130
684000 0.314500
687600 0.134850
691200 0.533820
694800 0.686300
698400 0.499960
702000 0.123240
705600 0.257800
709200 0.524720
712800 0.645190
716400 0.711460
720000 0.777900
723600 0.721650
727200 0.449210
730800 0.064990
734400 0.482150
738000 0.781690
741600 0.724400
745200 0.384920
748800 0.023940
752400 0.354890
756000 0.542570
759600 0.631840
763200 0.712060
766800 0.717840
770400 0.518200
774000 0.138800
777600 0.331930
781200 0.667560
784800 0.679030
788400 0.365720
792000 0.053160
795600 0.391520
799200 0.583470
802800 0.655030
806400 0.712200
810000 0.761510
813600 0.654720
817200 0.330650
820800 0.150380
824400 0.576140
828000 0.760890
831600 0.586160
835200 0.206840
838800 0.161820
842400 0.422600
846000 0.559060
849600 0.633390
853200 0.699440
856800 0.653300
860400 0.386840
864000 0.061400
867600 0.469660
871200 0.701350
874800 0.584280
878400 0.210760
882000 0.175720
885600 0.441400
889200 0.571600
892800 0.618580
896400 0.674410
900000 0.704840
903600 0.559030
907200 0.216410
910800 0.230610
914400 0.574980
918000 0.645630
921600 0.410150
925200 0.060720
928800 0.237460
932400 0.439630
936000 0.547010
939600 0.614710
943200 0.663660
946800 0.570560
950400 0.263740
954000 0.158170
957600 0.512630
961200 0.637030
964800 0.446400
968400 0.088990
972000 0.225270
975600 0.422920
979200 0.512970
982800 0.549500
986400 0.608670
990000 0.625760
993600 0.462590
997200 0.141770
1000800 0.234570
1004400 0.485780
1008000 0.487660
1011600 0.261380
1015200 0.020770
1018800 0.250770
1022400 0.414720
1026000 0.506690
1029600 0.574300
1033200 0.610220
1036800 0.486880
1040400 0.178520
1044000 0.187990
1047600 0.460820
1051200 0.515660
1054800 0.319430
1058400 0.025190
1062000 0.215720
1065600 0.364190
1069200 0.430330
1072800 0.468060
1076400 0.537130
1080000 0.550800
1083600 0.398460
1087200 0.131840
1090800 0.161650
1094400 0.354590
1098000 0.350410
1101600 0.178830
1105200 0.030950
1108800 0.211610
1112400 0.353100
1116000 0.442230
1119600 0.518510
1123200 0.550270
1126800 0.423400
1130400 0.154240
1134000 0.138290
1137600 0.353090
1141200 0.391580
1144800 0.233560
1148400 0.008780
1152000 0.171630
1155600 0.289640
1159200 0.347840
1162800 0.398720
1166400 0.483100
1170000 0.507060
1173600 0.392570
1177200 0.188840
1180800 0.051270
1184400 0.239270
1188000 0.272320
1191600 0.168020
1195200 0.029940
1198800 0.132300
1202400 0.268000
1206000 0.367680
